eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
197002230001,1970,2,23,,0,,217,United States,1,North America,Nebraska,South Sioux City,42.47031,-96.413949,1,0,Sioux City/Dakota City area,1,1,1,0,,,1,1,0,3,Bombing/Explosion,,,,,21,Utilities,107,Electricity,,Power Transmission Pole in the Dakota City/Sioux City area,217,United States,,,,,,,,,,,,,,,,,Strikers,,,,,,0,,,0,-99,-99,0,,,,,,,,,,6,Explosives,28,Dynamite/TNT,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,0,,,,,,,0,,,,,,,,,"\"\" U.S. Government Printing Office",August 6,"1970.\"",,,Hewitt Project
197003120004,1970,3,12,,0,,217,United States,1,North America,Illinois,Chicago,41.842602,-87.681229,1,0,,1,1,1,1,2,Other Crime Type,1,1,0,3,Bombing/Explosion,,,,,3,Police,23,Police Patrol (including vehicles and convoys),Chicago Police,Chicago Police Car,217,United States,,,,,,,,,,,,,,,,,Black Nationalists,,,,,,1,,,0,-99,-99,0,,,,,,,,,,6,Explosives,11,"Projectile (rockets, mortars, RPGs, etc.)",,,,,,,,,,,,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,0,,,,,,,0,,,,,,,,,"\"\" U.S. Government Printing Office",August 6,"1970.\"","\"\"\"Bombs and Threats Jolt Cities","\"\" Washington Post",March 14
197004030001,1970,4,3,,0,,96,Ireland,8,Western Europe,Dublin,Dublin,53.361675,-6.245485,1,0,,1,1,1,0,,,0,1,0,2,Armed Assault,,,,,1,Business,3,Bank/Commerce,Bank of Ireland,"Richard Fallon, 42, Garda Siochana",96,Ireland,,,,,,,,,,,,,,,,,Saor Eire (Irish Republican Group),,,,,,0,,,0,0,,,,,,,,,,,,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,1,,,0,,,1,,,,0,,,,,,,0,,,,,,,,,CAIN,1,1,0,1,
197007040002,1970,7,4,,0,,217,United States,1,North America,New York,New York City,40.697132,-73.931351,1,0,Brooklyn,1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,4,Military,35,Military Transportation/Vehicle (excluding convoys),US Army,"Army truck stationed at Fort Hamilton, New York",217,United States,,,,,,,,,,,,,,,,,Left-Wing Militants,,,,,,0,,,0,1,1,0,,,,,,,,,,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,0,,,,,,,0,,,,,,,,,"\"\" U.S. Government Printing Office",August 6,"1970.\"","\"\"\"Brooklyn Man Is Arrested On a Fire-Bombing Charge","\"\" New York Times",July 5
197007070004,1970,7,7,,0,,217,United States,1,North America,New York,New York City,40.697132,-73.931351,1,0,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,7,Government (Diplomatic),46,Embassy/Consulate,,Haiti Consulate,87,Haiti,,,,,,,,,,,,,,,,,Unknown,,,,,,0,,,0,0,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,0,,,0,,,1,,,,0,,,,,,,0,,,,,,,,,PGIS,-9,-9,1,1,
197103100003,1971,3,10,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,1,0,,1,1,1,0,,,0,1,0,1,Assassination,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",British Army,"Dougald McCaughey, 23 and Joseph McCraig, 18 (off duty)",216,Great Britain,,,,,,,,,,,,,,,,,Irish Republican Army (IRA),,,,,,0,,,0,0,,,,,,,,,,,,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,1,,,0,,,0,,,,0,,,,,,,0,,,,,,,,,CAIN,0,0,1,1,
197104190002,1971,4,19,,0,,185,Spain,8,Western Europe,Barcelona,Barcelona,41.400635,2.150913,1,0,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,19,Transportation,104,Highway/Road/Toll/Traffic Signal,,Street,185,Spain,,,,,,,,,,,,,,,,,Catalan Liberation Front (FAC),,,,,,0,,,0,0,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,0,,,0,,,1,4,Unknown,,0,,,,,,,0,,,,,,,,,PGIS,0,0,0,0,
197108220004,1971,8,22,,0,,217,United States,1,North America,New York,New York City,40.697132,-73.931351,1,0,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,1,Business,7,Retail/Grocery/Bakery,,supermarket,217,United States,,,,,,,,,,,,,,,,,Armed Revolutionary Independence Movement (MIRA),,,,,,0,,,0,0,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,0,,,0,,,1,,,,0,,,,,,,0,,,,,,,,,PGIS,0,1,0,1,
197108230004,1971,8,23,,0,,217,United States,1,North America,New Jersey,Hoboken,40.74617,-74.032814,1,0,,1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,1,Business,7,Retail/Grocery/Bakery,,store,217,United States,,,,,,,,,,,,,,,,,Armed Revolutionary Independence Movement (MIRA),,,,,,0,,,0,0,,,,,,,,,,,,8,Incendiary,,,,,,,,,,,,,,,0,,,0,,,1,,,,0,,,,,,,0,,,,,,,,,PGIS,0,1,0,1,
197111020001,1971,11,2,,0,,185,Spain,8,Western Europe,Barcelona,Montjuic,41.400635,2.150913,1,0,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,16,Telecommunication,88,Radio,,Radio antenna,185,Spain,,,,,,,,,,,,,,,,,Catalan Liberation Front (FAC),,,,,,0,,,0,0,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,0,,,0,,,1,3,Minor (likely < $1 million),5000,0,,,,,,,0,,,,,,,,,PGIS,0,0,0,0,
197111020003,1971,11,2,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,1,0,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,1,Business,2,Restaurant/Bar/Caf�,Red Lion Bar and Drapery Shop,"John Cochrane, 67; Mary Gemmell, 55 and William Jordan, 31, Protestants",233,Northern Ireland,,,,,,,,,,,,,,,,,Irish Republican Army (IRA),,,,,,0,,,0,0,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,3,,,0,,,1,,,,0,,,,,,,0,,,,,,,,,CAIN,0,0,1,1,
197205280003,1972,5,28,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.607712,-5.95621,1,0,,1,1,1,0,,,0,1,0,1,Assassination,,,,,14,Private Citizens & Property,69,Religion Identified,,"Thomas Wardlow, 32, Catholic",233,Northern Ireland,,,,,,,,,,,,,,,,,Ulster Volunteer Force (UVF),,,,,,0,,,0,0,,,,,,,,,,,,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,1,,,0,,,0,,,,0,,,,,,,0,,,,,,,,,CAIN,0,0,1,1,
197205300003,1972,5,30,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,"Andersontown, Belfast",54.607712,-5.95621,1,0,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,1,Assassination,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",British Army,"Michael Bruce, 27",216,Great Britain,,,,,,,,,,,,,,,,,Irish Republican Army (IRA),,,,,,0,,,0,0,,,,,,,,,,,,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,1,,,0,,,0,,,,0,,,,,,,0,,,,,,,,,CAIN,0,0,1,1,
197303040005,1973,3,4,,0,,217,United States,1,North America,New York,New York City,40.697132,-73.931351,1,0,"South Conduit Ave, near 132nd St",1,1,1,0,,,1,0,0,3,Bombing/Explosion,,,,,6,Airports & Aircraft,44,Airport,El Al Airlines,Terminal Warehouse,97,Israel,,,,,,,,,,,,,,,,,Black September,,,,,,0,,,0,1,1,0,,,,,,,,,,6,Explosives,15,Vehicle,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,"\"Tolchin, Martin. \"\"Iraqi Linked to Black September is Sought in Bomb-Planting Here","\"\" The New York Times",March 16,"1973.\"","\"\"\"Across the Nation","\"\" The Augusta Chronicle"
197303310001,1973,3,31,,0,,11,Argentina,3,South America,Buenos Aires,Buenos Aires,-34.61768,-58.444435,1,0,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,3,Bombing/Explosion,,,,,4,Military,,,,Comando de Armada,11,Argentina,,,,,,,,,,,,,,,,,Unknown,,,,,,0,,,0,0,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,0,,,0,,,1,4,Unknown,,0,,,,,,,0,,,,,,,,,PGIS,-9,-9,0,-9,
197308150004,1973,8,15,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Armagh,54.347539,-6.656108,1,0,,1,1,1,0,,,0,1,0,1,Assassination,,,,,3,Police,25,Police Security Forces/Officers,Royal Ulster Constabulary,"William McIlveen, Protesant, policeman",233,Northern Ireland,,,,,,,,,,,,,,,,,Irish Republican Army (IRA),,,,,,0,,,0,0,,,,,,,,,,,,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,1,,,0,,,0,,,,0,,,,,,,0,,,,,,,,,CAIN,0,0,1,1,
197308270003,1973,8,27,,0,,217,United States,1,North America,District of Columbia,Washington,38.908642,-77.015381,1,0,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,7,Government (Diplomatic),46,Embassy/Consulate,,British Embassy,216,Great Britain,,,,,,,,,,,,,,,,,Irish Republican Army (IRA),,,,,,0,,,0,0,,,,,,,,,,,,6,Explosives,9,Letter Bomb,,,,,,,,,,,,,0,,,1,,,1,,,,0,,,,,,,0,,,,,,,,,PGIS,1,0,1,1,
197311260004,1973,11,26,,0,,217,United States,1,North America,Alabama,Gadsden,33.996195,-85.978282,1,0,"1445 East Broad Street, in East Gadsden, the home of the victim, Rev. Edward Pace",1,1,1,0,,,0,1,0,1,Assassination,,,,,14,Private Citizens & Property,71,Race/Ethnicity Identified,Black minister,Reverend Edward Pace,217,United States,,,,,,,,,,,,,,,,,Ku Klux Klan,,,,,,1,,,0,3,3,0,,,,,,,,,,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,1,1,0,0,0,0,-9,,,,,,,,,,,,,,,,,,,,"1973.\"","\"\"\"Gadsden Slaying","\"\" Baltimore Afro-American",December 15,"1973.\"","\"Christopher Hewitt, \"\"Political Violence and Terrorism in Modern America: A Chronology"
197407140002,1974,7,14,,0,,7,Andorra,8,Western Europe,Unknown,Unknown,,,5,0,,1,1,1,0,,,0,1,0,2,Armed Assault,,,,,1,Business,3,Bank/Commerce,,Spanish Savings Assoc.,185,Spain,,,,,,,,,,,,,,,,,International Revolutionary Action Group (GARI),,,,,,0,,,0,0,,,,,,,,,,,,5,Firearms,3,Handgun,,,,,,,,,,,,,0,,,0,,,1,,,,0,,,,,,,0,,,,,,,,,PGIS,0,1,1,1,
